course_name,course_slug,course_technology,course_description,course_topic,course_description_short
Introduction to Tableau,tableau,tableau,"Tableau is now one of the most popular business intelligence tools in the world. It allows non-technical users to visualize data and work with it immediately. This course shows how you can use Tableau to create state-of-the-art visualizations and powerful dashboards, which is precisely what corporate executives need when making decisions.
",data visualization,"Teaching you how to tell compelling stories with data by building accessible visualization and dashboards. With these skills, you will be able to present complicated results in a comprehensive way to non-technical audiences."
"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,python,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.",data visualization,"Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset."
Introduction to R Programming,introduction-to-r-programming,r,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.",programming,"Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science."
Data Preprocessing with NumPy,data-preprocessing-numpy,python,"This course is designed to show you how to work with one of Python’s fundamental packages – NumPy. You will learn what a “package” is and see how to install, upgrade and import it. By the time you finish the course, you’ll be comfortable with NumPy’ ndarray class, how to slice and reduce the dimensions of its instances, as well as how to quickly refer to the documentation. Furthermore, you’ll be ready to take advantage of NumPy’s various built-in functions and methods, which we’ll use to generate random and non-random data, import and export data to and from Python, find statistical values for a dataset, and clean and preprocess ndarrays.",data processing,This course will guide you through one of Python’s most notable packages – NumPy. We’ll explain why it’s so popular and discuss the numerous applications of its crown jewel – the ndarray class.
Introduction to Data and Data Science,intro-to-data-and-data-science,theory,"Working with data is an essential part of maintaining a healthy business. This course will introduce you to the field of data science, help you understand the various processes and distinguish between terms such as: ‘traditional data,’ ‘big data,’ ‘business intelligence,’ ‘business analytics,’ ‘data analytics,’ ‘data science,’ and ‘machine learning.’",machine learning,Introducing you to the field of data science and building your understanding of the key data science terms and processes.
Data Cleaning and Preprocessing with pandas,data-cleaning-preprocessing-pandas,python,"pandas is one of today’s most celebrated data analysis libraries. A favorite of many, its versatile functionalities can be leveraged for manipulation of many types of data - numeric, text, Boolean, and more. That’s one of the features that make pandas the go-to choice for analysts, especially during the data cleaning and preprocessing stages. pandas is built on NumPy and takes advantage of its computational power and abilities. But what sets pandas apart is its ability to operate with data in an easy-to-use way, allowing you to focus almost entirely on your analytic task. In this course, you will learn how to work with this powerful Python library and its core data structures – the pandas Series and DataFrames.",data processing,"Introducing you to the fundamentals of the quintessential Python data analysis library, pandas, and its core data structures – the Series and DataFrame objects."
Introduction to Business Analytics,introduction-to-business-analytics,theory,"Business analytics offers a unique perspective on how world-class organizations use data-driven decision making as a tool for success. Throughout the course, you will develop the practical skills you need to manage a successful analytics project. The step-by-step modules take you all the way from stakeholder and process mapping, through end-to-end processes and benchmarking, to hands-on analytical techniques, including historical analysis, variance analysis, trend analysis, value-based analysis, correlation, time series, regression, as well as machine and deep learning analysis. Once you finish the course, you will have a good idea how these techniques can be applied in practice, allowing you to thrive in any corporate environment.",financial analysis,"Introducing you to business analytics. In this course, you will learn how to implement a diverse range of analytical techniques in practice to manage a successful analytics project in a large blue-chip corporation."
Data Analysis with Excel Pivot Tables,data-analysis-with-excel-pivot-tables,excel,"Working with pivot tables is one of the most useful data analysis capabilities in Excel. In this course, you will learn how to work with pivot tables and understand their elegance in terms of reporting capabilities.",data analysis,Learn how to work with pivot tables and create world-class business analysis and reporting.
SQL,sql,sql,"SQL is one of the fundamental programming languages you need to learn to work with databases. When you are a data scientist in a company and you need data to perform your analysis, you usually have two options: extract it on your own or contact the IT team. Of course, the ability to extract your own data is an extremely valuable skill to have. In this course, we will teach you everything you need to know in terms of database management and creating SQL queries.",programming,"Equipping you with the essential data science skills to effectively manage relational databases by extracting, transforming, and loading your data."
Credit Risk Modeling in Python,credit-risk-modeling-in-python,python,"Credit risk modeling is the place where data science and fintech meet. It is one of the most important activities conducted in a bank, with the most attention since the recession. At present, it is the only comprehensive credit risk modeling course in Python available online – taking you from preprocessing, through probability of default (PD), loss given default (LGD) and exposure at default (EAD) modeling, all the way to calculating expected loss (EL).",financial analysis,Teaching you the programming behind how banks decide who should get a loan. You will learn risk modeling theory and advance your Python modeling skills.
